"id","title","search_term","file_title","image_url","source_url","license","license_url","artist","status"
"13","Rue and Wormwood Bitter Cordial","Rue and Wormwood Bitter Cordial","File:Choice and experimented receipts in physick and chirurgery - as also cordial and distilled waters and spirits, perfumes, and other curiosities (IA choiceexperiment00digb).pdf","https://upload.wikimedia.org/wikipedia/commons/7/75/Choice_and_experimented_receipts_in_physick_and_chirurgery_-_as_also_cordial_and_distilled_waters_and_spirits%2C_perfumes%2C_and_other_curiosities_%28IA_choiceexperiment00digb%29.pdf","https://commons.wikimedia.org/wiki/File:Choice_and_experimented_receipts_in_physick_and_chirurgery_-_as_also_cordial_and_distilled_waters_and_spirits,_perfumes,_and_other_curiosities_(IA_choiceexperiment00digb).pdf","Public domain","","Digby, Kenelm, 1603-1665","found"
"14","Oak Bark Decoction (Quercus robur)","Quercus robur","File:Quercus robur acorn - Keila.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/Quercus_robur_acorn_-_Keila.jpg","https://commons.wikimedia.org/wiki/File:Quercus_robur_acorn_-_Keila.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Ivar Leidus","found"
"15","Mugwort Wine (Artemisia)","Artemisia","File:Judith at the Banquet of Holofernes (previously known as Artemisia), by Rembrandt, from Prado in Google Earth.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b0/Judith_at_the_Banquet_of_Holofernes_%28previously_known_as_Artemisia%29%2C_by_Rembrandt%2C_from_Prado_in_Google_Earth.jpg","https://commons.wikimedia.org/wiki/File:Judith_at_the_Banquet_of_Holofernes_(previously_known_as_Artemisia),_by_Rembrandt,_from_Prado_in_Google_Earth.jpg","Public domain","","Rembrandt","found"
"16","Betony Snuff (Stachys officinalis)","Stachys officinalis","File:Border met Helenium 'Wyndley' en Betonica officinalis, Tuinreservaat Jonker vallei.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e8/Border_met_Helenium_%27Wyndley%27_en_Betonica_officinalis%2C_Tuinreservaat_Jonker_vallei.jpg","https://commons.wikimedia.org/wiki/File:Border_met_Helenium_%27Wyndley%27_en_Betonica_officinalis,_Tuinreservaat_Jonker_vallei.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Dominicus Johannes Bergsma","found"
"17","Rosemary Liniment (Spiritus Rosmarini)","Spiritus Rosmarini","File:NLC416-08jh011793-25767 袖珍藥物學.pdf","https://upload.wikimedia.org/wikipedia/commons/7/7b/NLC416-08jh011793-25767_%E8%A2%96%E7%8F%8D%E8%97%A5%E7%89%A9%E5%AD%B8.pdf","https://commons.wikimedia.org/wiki/File:NLC416-08jh011793-25767_%E8%A2%96%E7%8F%8D%E8%97%A5%E7%89%A9%E5%AD%B8.pdf","Public domain","","朱雲達編","found"
"18","Elecampane Wine (Inula Wine)","Inula Wine","File:Inula ensifolia sl17.jpg","https://upload.wikimedia.org/wikipedia/commons/3/30/Inula_ensifolia_sl17.jpg","https://commons.wikimedia.org/wiki/File:Inula_ensifolia_sl17.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Stefan.lefnaer","found"
"19","Black Hellebore Tincture (Christmas Rose)","Christmas Rose","File:Bloem van een kerstroos (Helleborus niger) 16-12-2021. (d.j.b) 02.jpg","https://upload.wikimedia.org/wikipedia/commons/6/69/Bloem_van_een_kerstroos_%28Helleborus_niger%29_16-12-2021._%28d.j.b%29_02.jpg","https://commons.wikimedia.org/wiki/File:Bloem_van_een_kerstroos_(Helleborus_niger)_16-12-2021._(d.j.b)_02.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Dominicus Johannes Bergsma","found"
"20","Balsam of Peru Salve","Balsam of Peru Salve","File:The art of perfumery - and the methods of obtaining odours of plants; with instructions for the manufacture of ... dentifrices, pomatums, cosmetiques, perfumed soap, etc. (IA artofperfumeryme00pies).pdf","https://upload.wikimedia.org/wikipedia/commons/0/03/The_art_of_perfumery_-_and_the_methods_of_obtaining_odours_of_plants%3B_with_instructions_for_the_manufacture_of_..._dentifrices%2C_pomatums%2C_cosmetiques%2C_perfumed_soap%2C_etc._%28IA_artofperfumeryme00pies%29.pdf","https://commons.wikimedia.org/wiki/File:The_art_of_perfumery_-_and_the_methods_of_obtaining_odours_of_plants;_with_instructions_for_the_manufacture_of_..._dentifrices,_pomatums,_cosmetiques,_perfumed_soap,_etc._(IA_artofperfumeryme00pies).pdf","Public domain","","Piesse, G. W. Septimus (George William Septimus), 1820-1882","found"
"21","Sweet Flag Elixir (Calamus)","Calamus","File:Acorus calamus 002.JPG","https://upload.wikimedia.org/wikipedia/commons/6/60/Acorus_calamus_002.JPG","https://commons.wikimedia.org/wiki/File:Acorus_calamus_002.JPG","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","H. Zell","found"
"22","Horehound Candy (Marrubium vulgare)","Marrubium vulgare","File:Marrubium vulgare - Köhler–s Medizinal-Pflanzen-224.jpg","https://upload.wikimedia.org/wikipedia/commons/8/84/Marrubium_vulgare_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-224.jpg","https://commons.wikimedia.org/wiki/File:Marrubium_vulgare_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-224.jpg","Public domain","","Franz Eugen Köhler, Köhler's Medizinal-Pflanzen","found"
"23","Valerian and Hops Pillow","Valerian and Hops Pillow","File:Hops; their cultivation, commerce, and uses in various countries. A manual of reference for the grower, dealer, and brewer (IA cu31924003329145).pdf","https://upload.wikimedia.org/wikipedia/commons/0/0f/Hops%3B_their_cultivation%2C_commerce%2C_and_uses_in_various_countries._A_manual_of_reference_for_the_grower%2C_dealer%2C_and_brewer_%28IA_cu31924003329145%29.pdf","https://commons.wikimedia.org/wiki/File:Hops;_their_cultivation,_commerce,_and_uses_in_various_countries._A_manual_of_reference_for_the_grower,_dealer,_and_brewer_(IA_cu31924003329145).pdf","Public domain","","Simmonds, P. L. (Peter Lund), 1814-1897","found"
"24","Marshmallow Root Decoction","Marshmallow Root Decoction","File:The old root and herb doctor, or, the Indian method of healing (IA 101250099.nlm.nih.gov).pdf","https://upload.wikimedia.org/wikipedia/commons/7/74/The_old_root_and_herb_doctor%2C_or%2C_the_Indian_method_of_healing_%28IA_101250099.nlm.nih.gov%29.pdf","https://commons.wikimedia.org/wiki/File:The_old_root_and_herb_doctor,_or,_the_Indian_method_of_healing_(IA_101250099.nlm.nih.gov).pdf","Public domain","","Briante, John Goodale","found"
"25","Agrimony Tincture (Agrimonia eupatoria)","Agrimonia eupatoria","File:Agrimonia eupatoria - Keila.jpg","https://upload.wikimedia.org/wikipedia/commons/2/26/Agrimonia_eupatoria_-_Keila.jpg","https://commons.wikimedia.org/wiki/File:Agrimonia_eupatoria_-_Keila.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Ivar Leidus","found"
"26","Pellitory of the Wall Infusion","Pellitory of the Wall Infusion","File:The botanic pharmacopœia (electronic resource) - comprising the materia medica, doses and preparations of the medicines employed in the botanic practice (IA b21687377).pdf","https://upload.wikimedia.org/wikipedia/commons/b/bf/The_botanic_pharmacop%C5%93ia_%28electronic_resource%29_-_comprising_the_materia_medica%2C_doses_and_preparations_of_the_medicines_employed_in_the_botanic_practice_%28IA_b21687377%29.pdf","https://commons.wikimedia.org/wiki/File:The_botanic_pharmacop%C5%93ia_(electronic_resource)_-_comprising_the_materia_medica,_doses_and_preparations_of_the_medicines_employed_in_the_botanic_practice_(IA_b21687377).pdf","Public domain","","Hatfield, John G University College, London. Library Services University College, London. Library Services","found"
"27","Arctic Angelica Spirit (Archangelica)","Archangelica","File:Engelwortel (Angelica archangelica). Locatie, Broeresleat. Súdwest-Fryslân. 12-08-2020. (actm.) 02.jpg","https://upload.wikimedia.org/wikipedia/commons/6/68/Engelwortel_%28Angelica_archangelica%29._Locatie%2C_Broeresleat._S%C3%BAdwest-Frysl%C3%A2n._12-08-2020._%28actm.%29_02.jpg","https://commons.wikimedia.org/wiki/File:Engelwortel_(Angelica_archangelica)._Locatie,_Broeresleat._S%C3%BAdwest-Frysl%C3%A2n._12-08-2020._(actm.)_02.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Agnes Monkelbaan","found"
"28","Reindeer Moss Decoction (Cetraria islandica)","Cetraria islandica","File:Cetraria islandica - Köhler–s Medizinal-Pflanzen-032.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6f/Cetraria_islandica_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-032.jpg","https://commons.wikimedia.org/wiki/File:Cetraria_islandica_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-032.jpg","Public domain","","Franz Eugen Köhler, Köhler's Medizinal-Pflanzen","found"
"29","Cloudberry Conserve (Rubus chamaemorus)","Rubus chamaemorus","File:Rubus chamaemorus LC0151.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1c/Rubus_chamaemorus_LC0151.jpg","https://commons.wikimedia.org/wiki/File:Rubus_chamaemorus_LC0151.jpg","CC BY-SA 2.0 de","https://creativecommons.org/licenses/by-sa/2.0/de/deed.en","Jörg Hempel","found"
"30","Burdock Root Ferment (Lopukhov Kvass)","Lopukhov Kvass","","","","","","","missing"
"31","Pine Needle Tincture (Pinus sylvestris)","Pinus sylvestris","File:Wandeling over het Hulshorsterzand-Hulshorsterheide 07-03-2020. (d.j.b) 20.jpg","https://upload.wikimedia.org/wikipedia/commons/3/31/Wandeling_over_het_Hulshorsterzand-Hulshorsterheide_07-03-2020._%28d.j.b%29_20.jpg","https://commons.wikimedia.org/wiki/File:Wandeling_over_het_Hulshorsterzand-Hulshorsterheide_07-03-2020._(d.j.b)_20.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Dominicus Johannes Bergsma","found"
"32","Red Clover Salve (Trifolium pratense)","Trifolium pratense","File:Trifolium pratense - Keila.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9d/Trifolium_pratense_-_Keila.jpg","https://commons.wikimedia.org/wiki/File:Trifolium_pratense_-_Keila.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Ivar Leidus","found"
"33","Wild Thyme Linctus (Thymus serpyllum)","Thymus serpyllum","File:Thymus serpyllum in Cardaillac (2).jpg","https://upload.wikimedia.org/wikipedia/commons/5/5f/Thymus_serpyllum_in_Cardaillac_%282%29.jpg","https://commons.wikimedia.org/wiki/File:Thymus_serpyllum_in_Cardaillac_(2).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Krzysztof Golik","found"
"34","St. John's Wort Oil (Hypericum perforatum)","Hypericum perforatum","File:(MHNT) Hypericum perforatum flower and buttons.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cf/%28MHNT%29_Hypericum_perforatum_flower_and_buttons.jpg","https://commons.wikimedia.org/wiki/File:(MHNT)_Hypericum_perforatum_flower_and_buttons.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Didier Descouens","found"
"35","Lungwort Decoction (Pulmonaria officinalis)","Pulmonaria officinalis","File:Pulmonaria officinalis TK.jpg","https://upload.wikimedia.org/wikipedia/commons/2/21/Pulmonaria_officinalis_TK.jpg","https://commons.wikimedia.org/wiki/File:Pulmonaria_officinalis_TK.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Nefronus","found"
"36","Goat's Rue Tincture (Galega officinalis)","Galega officinalis","File:Galega officinalis MHNT.BOT.2007.40.22.jpg","https://upload.wikimedia.org/wikipedia/commons/3/33/Galega_officinalis_MHNT.BOT.2007.40.22.jpg","https://commons.wikimedia.org/wiki/File:Galega_officinalis_MHNT.BOT.2007.40.22.jpg","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Roger Culos","found"
"37","Bilberry Wine (Vaccinium myrtillus)","Vaccinium myrtillus","File:Vaccinium myrtillus RecolteAuPeigne.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b0/Vaccinium_myrtillus_RecolteAuPeigne.JPG","https://commons.wikimedia.org/wiki/File:Vaccinium_myrtillus_RecolteAuPeigne.JPG","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","B.navez","found"
"38","Celandine Tincture (Chelidonium majus)","Chelidonium majus","File:Chelidonium majus 2 RF.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Chelidonium_majus_2_RF.jpg","https://commons.wikimedia.org/wiki/File:Chelidonium_majus_2_RF.jpg","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Robert Flogaus-Faust","found"
"39","Lichen Cream (Cetraria & Usnea)","Cetraria & Usnea","File:Hoffmann-Dennert botanischer Bilderatlas (Taf. 08) (6424985567).jpg","https://upload.wikimedia.org/wikipedia/commons/8/86/Hoffmann-Dennert_botanischer_Bilderatlas_%28Taf._08%29_%286424985567%29.jpg","https://commons.wikimedia.org/wiki/File:Hoffmann-Dennert_botanischer_Bilderatlas_(Taf._08)_(6424985567).jpg","Public domain","","Dennert, E.","found"
"40","Horsetail Field Plaster (Equisetum arvense)","Equisetum arvense","File:Equisetum arvense fertile spore-bearing stem - Keila.jpg","https://upload.wikimedia.org/wikipedia/commons/2/22/Equisetum_arvense_fertile_spore-bearing_stem_-_Keila.jpg","https://commons.wikimedia.org/wiki/File:Equisetum_arvense_fertile_spore-bearing_stem_-_Keila.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Ivar Leidus","found"
"41","Marsh Tea Tincture (Ledum palustre)","Ledum palustre","File:Sookail (Rhododendron tomentosum) Kaasikjärve rabas.JPG","https://upload.wikimedia.org/wikipedia/commons/d/db/Sookail_%28Rhododendron_tomentosum%29_Kaasikj%C3%A4rve_rabas.JPG","https://commons.wikimedia.org/wiki/File:Sookail_(Rhododendron_tomentosum)_Kaasikj%C3%A4rve_rabas.JPG","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Iifar","found"
"42","Yarrow Sitz Bath (Achillea millefolium)","Achillea millefolium","File:Yarrow (Achillea millefolium).jpg","https://upload.wikimedia.org/wikipedia/commons/1/17/Yarrow_%28Achillea_millefolium%29.jpg","https://commons.wikimedia.org/wiki/File:Yarrow_(Achillea_millefolium).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Petar Milošević","found"
"43","Spelt Porridge (Hildegard's Cereal)","Hildegard's Cereal","File:Federal Register 1945-04- Vol 10 Index (IA sim federal-register-find 1945-04 10 index).pdf","https://upload.wikimedia.org/wikipedia/commons/e/e4/Federal_Register_1945-04-_Vol_10_Index_%28IA_sim_federal-register-find_1945-04_10_index%29.pdf","https://commons.wikimedia.org/wiki/File:Federal_Register_1945-04-_Vol_10_Index_(IA_sim_federal-register-find_1945-04_10_index).pdf","Public domain","","","found"
"44","Calamint Infusion (Calamintha nepeta)","Calamintha nepeta","File:Honigbiene auf Bergminze 02.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8c/Honigbiene_auf_Bergminze_02.jpg","https://commons.wikimedia.org/wiki/File:Honigbiene_auf_Bergminze_02.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","V.Boldychev","found"
"45","Dittany and Honey Troches (Pastilles)","Pastilles","File:Vichy Pastilles.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f1/Vichy_Pastilles.jpg","https://commons.wikimedia.org/wiki/File:Vichy_Pastilles.jpg","Public domain","","Christophe Chauvin","found"
"46","Woundwort Tincture (Stachys sylvatica)","Stachys sylvatica","File:Stachys sylvatica - mets-nõianõges.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Stachys_sylvatica_-_mets-n%C3%B5ian%C3%B5ges.jpg","https://commons.wikimedia.org/wiki/File:Stachys_sylvatica_-_mets-n%C3%B5ian%C3%B5ges.jpg","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Ivar Leidus","found"
"47","Mullein and Garlic Ear Oil","Mullein and Garlic Ear Oil","File:Trivett's seed catalogue (and) illustrated garden guide - tested and guaranteed seeds and bulbs - Trivett's Tested Seeds Incorporated. (IA CAT31339757).pdf","https://upload.wikimedia.org/wikipedia/commons/7/72/Trivett%27s_seed_catalogue_%28and%29_illustrated_garden_guide_-_tested_and_guaranteed_seeds_and_bulbs_-_Trivett%27s_Tested_Seeds_Incorporated._%28IA_CAT31339757%29.pdf","https://commons.wikimedia.org/wiki/File:Trivett%27s_seed_catalogue_(and)_illustrated_garden_guide_-_tested_and_guaranteed_seeds_and_bulbs_-_Trivett%27s_Tested_Seeds_Incorporated._(IA_CAT31339757).pdf","Public domain","","Trivett's Tested Seeds Inc","found"
"48","Meadowsweet Ointment (Spiraea)","Spiraea","File:Spiraea japonica 'Goldflame' 07.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5c/Spiraea_japonica_%27Goldflame%27_07.jpg","https://commons.wikimedia.org/wiki/File:Spiraea_japonica_%27Goldflame%27_07.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Dominicus Johannes Bergsma","found"
"49","Horehound and Anise Wine","Horehound and Anise Wine","File:Modern confectionary; containing receipts for drying and candying, comfits, cakes, preserves, liqueuers, ices, jellies, creams, sponges, pastes, potted meats, pickles, wines, etc., etc., etc. (IA b21531328).pdf","https://upload.wikimedia.org/wikipedia/commons/e/e0/Modern_confectionary%3B_containing_receipts_for_drying_and_candying%2C_comfits%2C_cakes%2C_preserves%2C_liqueuers%2C_ices%2C_jellies%2C_creams%2C_sponges%2C_pastes%2C_potted_meats%2C_pickles%2C_wines%2C_etc.%2C_etc.%2C_etc._%28IA_b21531328%29.pdf","https://commons.wikimedia.org/wiki/File:Modern_confectionary;_containing_receipts_for_drying_and_candying,_comfits,_cakes,_preserves,_liqueuers,_ices,_jellies,_creams,_sponges,_pastes,_potted_meats,_pickles,_wines,_etc.,_etc.,_etc._(IA_b21531328).pdf","Public domain","","University of Leeds. Library","found"
"50","Rosemary and Lavender Smudging Blend","Rosemary and Lavender Smudging Blend","File:A dictionary of English rhymes (IA dictionaryofengl00collrich).pdf","https://upload.wikimedia.org/wikipedia/commons/d/d8/A_dictionary_of_English_rhymes_%28IA_dictionaryofengl00collrich%29.pdf","https://commons.wikimedia.org/wiki/File:A_dictionary_of_English_rhymes_(IA_dictionaryofengl00collrich).pdf","Public domain","","Colligan, James A Gayley, Charles Mills, 1858-1932","found"
"51","Wild Lettuce Tincture (Lactuca virosa)","Lactuca virosa","File:Lactuca virosa - Köhler–s Medizinal-Pflanzen-213.jpg","https://upload.wikimedia.org/wikipedia/commons/3/32/Lactuca_virosa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-213.jpg","https://commons.wikimedia.org/wiki/File:Lactuca_virosa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-213.jpg","Public domain","","Franz Eugen Köhler, Köhler's Medizinal-Pflanzen","found"
"52","Black Currant Bud Conserve (Ribes nigrum)","Ribes nigrum","File:Cassis cornuta 01.jpg","https://upload.wikimedia.org/wikipedia/commons/1/18/Cassis_cornuta_01.jpg","https://commons.wikimedia.org/wiki/File:Cassis_cornuta_01.jpg","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","H. Zell","found"
"53","Fig and Rue Purgative","Fig and Rue Purgative","File:Boston guide to health, and journal of the arts and sciences (IA bostonguidetohea01spea).pdf","https://upload.wikimedia.org/wikipedia/commons/f/f0/Boston_guide_to_health%2C_and_journal_of_the_arts_and_sciences_%28IA_bostonguidetohea01spea%29.pdf","https://commons.wikimedia.org/wiki/File:Boston_guide_to_health,_and_journal_of_the_arts_and_sciences_(IA_bostonguidetohea01spea).pdf","Public domain","","Spear, J. S","found"
"54","Broom Top Decoction (Cytisus scoparius)","Cytisus scoparius","File:Rock and Cytisus scoparius flowers, Rosis cf01.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9c/Rock_and_Cytisus_scoparius_flowers%2C_Rosis_cf01.jpg","https://commons.wikimedia.org/wiki/File:Rock_and_Cytisus_scoparius_flowers,_Rosis_cf01.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Christian Ferrer","found"
"55","Stonecrop Tincture (Sedum acre)","Sedum acre","File:Sedum acre single - Niitvälja.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1c/Sedum_acre_single_-_Niitv%C3%A4lja.jpg","https://commons.wikimedia.org/wiki/File:Sedum_acre_single_-_Niitv%C3%A4lja.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Ivar Leidus","found"
"56","Cowslip Flower Syrup (Primula veris)","Primula veris","File:Primula veris flowers.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b0/Primula_veris_flowers.jpg","https://commons.wikimedia.org/wiki/File:Primula_veris_flowers.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Горбунова М.С.","found"
"57","Tormentil Tincture (Potentilla erecta)","Potentilla erecta","File:Potentilla erecta Ötschergräben 01.JPG","https://upload.wikimedia.org/wikipedia/commons/5/57/Potentilla_erecta_%C3%96tschergr%C3%A4ben_01.JPG","https://commons.wikimedia.org/wiki/File:Potentilla_erecta_%C3%96tschergr%C3%A4ben_01.JPG","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Uoaei1","found"
"58","Shepherd's Purse Tincture (Capsella)","Capsella","File:Capsella bursa-pastoris.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f1/Capsella_bursa-pastoris.JPG","https://commons.wikimedia.org/wiki/File:Capsella_bursa-pastoris.JPG","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","Eike Wulfmeyer","found"
"59","Mallow Root Poultice (Malva sylvestris)","Malva sylvestris","File:Mallow January 2008-1.jpg","https://upload.wikimedia.org/wikipedia/commons/0/09/Mallow_January_2008-1.jpg","https://commons.wikimedia.org/wiki/File:Mallow_January_2008-1.jpg","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Alvesgaspar","found"
"60","Fenugreek Seed Gruel (Trigonella)","Trigonella","File:Trigonella caerulea MHNT.BOT.2015.34.57.jpg","https://upload.wikimedia.org/wikipedia/commons/9/96/Trigonella_caerulea_MHNT.BOT.2015.34.57.jpg","https://commons.wikimedia.org/wiki/File:Trigonella_caerulea_MHNT.BOT.2015.34.57.jpg","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Roger Culos","found"
"61","Agrimony and Sage Gargle","Agrimony and Sage Gargle","File:The Complete family-piece - and, country gentleman, and farmer's best guide - in three parts .. (IA completefamilypi00unse).pdf","https://upload.wikimedia.org/wikipedia/commons/6/6c/The_Complete_family-piece_-_and%2C_country_gentleman%2C_and_farmer%27s_best_guide_-_in_three_parts_.._%28IA_completefamilypi00unse%29.pdf","https://commons.wikimedia.org/wiki/File:The_Complete_family-piece_-_and,_country_gentleman,_and_farmer%27s_best_guide_-_in_three_parts_.._(IA_completefamilypi00unse).pdf","Public domain","","","found"
